contributor,total,to_dems,to_repubs,to_liberal_groups,to_conservative_groups,to_nonpartisan_groups,lean,industry
Safari Club International,227299,0,88700,0,138599,0,Leans Conservative,Gun Rights
National Assn for Gun Rights,109351,0,19351,0,90000,0,Leans Conservative,Gun Rights
Gun Owners of America,21600,0,15600,0,5000,1000,Leans Republican,Gun Rights
Boone & Crockett Club,8500,2500,6000,0,0,0,Leans Republican,Gun Rights
Dallas Safari Club,7000,0,7000,0,0,0,Leans Republican,Gun Rights
Ohio Gun Collectors Assn,5250,0,5250,0,0,0,Leans Republican,Gun Rights
Edison Chouest Offshore,304842,3445,301397,0,0,0,Leans Republican,Cruise Lines
Carnival Corp,208968,89327,109716,0,0,0,Leans Republican,Cruise Lines
Galliano Marine Services,136143,0,136143,0,0,0,Leans Republican,Cruise Lines
Foremost Group,131200,0,9900,0,118400,0,Leans Conservative,Cruise Lines
Container Maintenance Corp,106600,0,6600,0,100000,0,Leans Conservative,Cruise Lines
American Waterways Operators,88935,22935,66000,0,0,0,Leans Republican,Cruise Lines
Matson Inc,82573,55416,27075,0,0,0,Leans Democrat,Cruise Lines
Carnival Cruise Lines,80092,52562,27530,0,0,0,Leans Democrat,Cruise Lines
Kirby Corp,69613,6050,63563,0,0,0,Leans Republican,Cruise Lines
Ingram Barge Co,65289,30921,34368,0,0,0,Leans Republican,Cruise Lines
Saltchuk,61375,32875,28500,0,0,0,Leans Democrat,Cruise Lines
Pacific Maritime Assn,57311,38073,14919,1630,1000,0,Leans Democrat,Cruise Lines
American Pilots Assn,53157,19500,33657,0,0,0,Leans Republican,Cruise Lines
YCF Maritime,50000,0,0,0,0,50000,On the fence,Cruise Lines
Blessey Marine Service,40639,1039,39600,0,0,0,Leans Republican,Cruise Lines
Golding Barge Line,34251,0,34251,0,0,0,Leans Republican,Cruise Lines
Maersk Inc,34199,19358,14831,0,0,0,Leans Democrat,Cruise Lines
Smoker Craft,23500,0,23500,0,0,0,Leans Republican,Cruise Lines
US Pioneer Inc,23300,0,23300,0,0,0,Leans Republican,Cruise Lines
Ocean Aero,23175,0,23175,0,0,0,Leans Republican,Cruise Lines
National Auto Dealers Assn,903560,296060,605000,0,0,0,Leans Republican,Car Dealers
Pulley Management Services,759900,0,9900,0,750000,0,Leans Conservative,Car Dealers
Archer Auto Group,442944,0,420564,0,22530,0,Leans Republican,Car Dealers
Jim Click Automotive,423377,0,423377,0,0,0,Leans Republican,Car Dealers
Braman Motorcars,375700,8300,17400,0,350000,0,Leans Conservative,Car Dealers
Billion Automotive,368307,34,368273,0,0,0,Leans Republican,Car Dealers
Keyes Motors,302900,39700,13200,0,0,250000,On the fence,Car Dealers
Bob Loquercio Auto Group,299600,0,162800,0,136800,0,Leans Republican,Car Dealers
Pohanka Automotive Group,267107,10665,206442,0,50000,0,Leans Republican,Car Dealers
Sewell Automotive,210386,151,160225,0,50000,0,Leans Republican,Car Dealers
Copart Inc,207996,1317,206594,0,0,0,Leans Republican,Car Dealers
Suburban Collection,157864,78,124486,0,25000,0,Leans Republican,Car Dealers
Potamkin Companies,139145,3500,10645,0,125000,0,Leans Conservative,Car Dealers
Beaman Automotive Group,136700,0,26700,0,110000,0,Leans Conservative,Car Dealers
Hendrick Automotive Group,135254,236,135018,0,0,0,Leans Republican,Car Dealers
Fremont Automotive Retailing Group,125500,125500,0,0,0,0,Leans Democrat,Car Dealers
Clay Cooley Auto Group,123570,0,123570,0,0,0,Leans Republican,Car Dealers
Baxter Auto Group,113800,0,113800,0,0,0,Leans Republican,Car Dealers
HUDSON AUTOMOTIVE GROUP,113250,0,13250,0,100000,0,Leans Conservative,Car Dealers
AutoNation,107605,3608,2854,0,100000,0,Leans Conservative,Car Dealers
UnitedHealth Group,1132599,417448,603220,26943,100000,0,Leans Republican,"Health Services,HMOs"
Curai Health,1000150,0,150,1000000,0,0,Leans Liberal,"Health Services,HMOs"
DaVita Inc,935136,279224,288705,132,30000,345000,On the fence,"Health Services,HMOs"
Blue Cross/Blue Shield,823247,435247,374779,51525,1000,0,Leans Democrat,"Health Services,HMOs"
NextGen Management,631030,0,581030,0,100000,0,Leans Republican,"Health Services,HMOs"
Chicago Pacific Founders,626700,0,76700,0,550000,0,Leans Conservative,"Health Services,HMOs"
Kaiser Permanente,614039,500990,82925,19367,1875,0,Leans Democrat,"Health Services,HMOs"
Transcarent,608617,388516,101,20000,0,200000,Leans Democrat,"Health Services,HMOs"
Centene Corp,600599,417687,175368,56397,0,0,Leans Democrat,"Health Services,HMOs"
Integra Connect,545651,50,44601,0,501000,0,Leans Conservative,"Health Services,HMOs"
Seleni Institute,408963,408963,0,0,0,0,Leans Democrat,"Health Services,HMOs"
Molina Healthcare,358402,160526,187252,10000,0,0,Leans Republican,"Health Services,HMOs"
Humana Inc,344025,170423,168927,600,0,0,Leans Democrat,"Health Services,HMOs"
Epic Systems,268943,149779,115986,839,0,0,Leans Democrat,"Health Services,HMOs"
Acadian Ambulance Service,258675,507,90665,0,167500,0,Leans Conservative,"Health Services,HMOs"
Jackson Healthcare,246347,130,46217,0,200000,0,Leans Conservative,"Health Services,HMOs"
Fresenius Medical Care,220996,97714,123205,0,0,0,Leans Republican,"Health Services,HMOs"
Global Rescue LLC,199400,0,198400,1000,0,0,Leans Republican,"Health Services,HMOs"
Laboratory Corp of America,194459,93216,100841,0,0,0,Leans Republican,"Health Services,HMOs"
ASPIRE HEALTH,188000,38000,0,100000,50000,0,Leans Liberal,"Health Services,HMOs"
Standard Industries,3029176,239825,632751,0,2150000,0,Leans Conservative,Construction
Suffolk Construction,2835394,347935,14559,2472900,0,0,Leans Liberal,Construction
American Council of Engineering Cos,1260723,651500,604223,0,0,0,Leans Democrat,Construction
CDR Maguire Inc,1190918,11615,179303,0,1000000,0,Leans Conservative,Construction
Edward C Levy Co,856722,41403,365319,0,100000,350000,Leans Republican,Construction
National Stone Sand & Gravel Assn,595500,150000,445500,0,0,0,Leans Republican,Construction
Abc Supply,568778,670,568108,0,0,0,Leans Republican,Construction
Collum's Lumber Products,527765,0,27765,0,500000,0,Leans Conservative,Construction
US Brick,517697,0,17697,0,500000,0,Leans Conservative,Construction
Associated Builders & Contractors,487086,1000,486086,0,0,0,Leans Republican,Construction
MDC Holdings,479271,21189,228067,0,130000,100000,Leans Republican,Construction
Herzog Contracting,470750,42000,428750,0,0,0,Leans Republican,Construction
National Assn of Home Builders,464525,103103,361422,0,0,0,Leans Republican,Construction
ICI Homes,437165,0,37165,0,400000,0,Leans Conservative,Construction
Yancey Brothers,422901,0,422901,0,0,0,Leans Republican,Construction
Associated General Contractors,411000,38000,363000,0,0,0,Leans Republican,Construction
CRH PLC,376710,155335,218875,0,0,0,Leans Republican,Construction
Hydrologic Distribution Co,365200,0,15200,0,350000,0,Leans Conservative,Construction
Caterpillar Inc,356637,110622,243989,1400,0,0,Leans Republican,Construction
Spencer Enterprises,334591,5223,329043,250,0,0,Leans Republican,Construction
Majority Forward,18740000,0,0,18740000,0,0,Leans Liberal,"Progressive,Democratic"
Future Forward Usa Action,8418486,0,0,8418486,0,0,Leans Liberal,"Progressive,Democratic"
House Majority PAC,5640500,87500,0,5553000,0,0,Leans Liberal,"Progressive,Democratic"
House Majority Forward,2728639,0,0,2728639,0,0,Leans Liberal,"Progressive,Democratic"
American Bridge 21st Century,1997389,5172,0,1992217,0,0,Leans Liberal,"Progressive,Democratic"
Future Now Action,1900000,0,0,1900000,0,0,Leans Liberal,"Progressive,Democratic"
Sixteen Thirty Fund,1705606,1275,0,1704331,0,0,Leans Liberal,"Progressive,Democratic"
Fair Democracy,1484687,0,0,1484687,0,0,Leans Liberal,"Progressive,Democratic"
Organizing Empowerment Project,1226338,438,0,1225900,0,0,Leans Liberal,"Progressive,Democratic"
Indivisible Project,1000090,90,0,1000000,0,0,Leans Liberal,"Progressive,Democratic"
Priorities Usa,969504,739,0,968765,0,0,Leans Liberal,"Progressive,Democratic"
Case Action Fund,934831,0,0,934831,0,0,Leans Liberal,"Progressive,Democratic"
PAC for America's Future 527,489017,0,0,489017,0,0,Leans Liberal,"Progressive,Democratic"
Elect Democratic Women,460500,460500,0,0,0,0,Leans Democrat,"Progressive,Democratic"
Project 72 Wisconsin,446172,0,0,446172,0,0,Leans Liberal,"Progressive,Democratic"
Toolbox (Virginia),425000,0,0,425000,0,0,Leans Liberal,"Progressive,Democratic"
Zinc Collective,407211,7211,0,400000,0,0,Leans Liberal,"Progressive,Democratic"
Florida Watch,368912,25,0,368887,0,0,Leans Liberal,"Progressive,Democratic"
Future Majority,363200,13200,0,350000,0,0,Leans Liberal,"Progressive,Democratic"
Way to Win,348630,58629,1,290000,0,0,Leans Liberal,"Progressive,Democratic"
Communications Workers Of America,5944089,689013,13281,5240189,0,0,Leans Liberal,Industrial Unions
International Brotherhood of Electrical Workers,2753316,1619889,35048,1060620,35000,1500,Leans Democrat,Industrial Unions
United Steelworkers,1017213,315562,0,701224,0,0,Leans Liberal,Industrial Unions
Machinists/Aerospace Workers Union,994714,962149,22501,0,0,0,Leans Democrat,Industrial Unions
United Auto Workers,480852,480766,0,0,0,0,Leans Democrat,Industrial Unions
United Mine Workers of America,186960,176960,10000,0,0,0,Leans Democrat,Industrial Unions
Boilermakers Union,47506,41415,6001,0,0,0,Leans Democrat,Industrial Unions
Ibew Local 102,20075,75,0,20000,0,0,Leans Liberal,Industrial Unions
Utility Workers Union of America,9712,9662,50,0,0,0,Leans Democrat,Industrial Unions
IBEW Local 98,6391,3064,3303,0,0,0,Leans Republican,Industrial Unions
IBEW PAC VOLUNTARY FUND ELECTRICAL WORKE,5000,5000,0,0,0,0,Leans Democrat,Industrial Unions
Greater New York Hospital Assn,1146564,137964,8600,1000000,0,0,Leans Liberal,"Nursing Homes,Hospitals"
American Hospital Assn,977303,512613,459675,500,0,0,Leans Democrat,"Nursing Homes,Hospitals"
Massachusetts General Hospital,874507,850224,9657,45790,0,0,Leans Democrat,"Nursing Homes,Hospitals"
55 Green Meadows,500000,0,0,0,500000,0,Leans Conservative,"Nursing Homes,Hospitals"
Select Medical Corp,370649,133406,227114,0,10000,0,Leans Republican,"Nursing Homes,Hospitals"
HCA Inc,301025,149476,141358,1152,5000,360,Leans Democrat,"Nursing Homes,Hospitals"
American Seniors Housing Assn,293000,143500,147000,0,0,0,Leans Republican,"Nursing Homes,Hospitals"
Stanford Children's Health,278735,278565,25,0,0,0,Leans Democrat,"Nursing Homes,Hospitals"
Central Management Co,254500,5000,239500,0,10000,0,Leans Republican,"Nursing Homes,Hospitals"
Federation Of American Hospitals,254085,126585,100000,22500,0,0,Leans Democrat,"Nursing Homes,Hospitals"
Sun Labs USA,250000,0,0,0,250000,0,Leans Conservative,"Nursing Homes,Hospitals"
Saber Healthcare Group,246742,35,246700,0,0,0,Leans Republican,"Nursing Homes,Hospitals"
Cdr Health Care,238600,0,238600,0,0,0,Leans Republican,"Nursing Homes,Hospitals"
American Health Care Assn,238500,148500,80000,0,0,0,Leans Democrat,"Nursing Homes,Hospitals"
Retirement Unlimited,220500,3300,192200,0,25000,0,Leans Republican,"Nursing Homes,Hospitals"
Marquis Companies,185579,113679,71900,0,0,0,Leans Democrat,"Nursing Homes,Hospitals"
Community Health Systems,177240,73710,95485,0,0,0,Leans Republican,"Nursing Homes,Hospitals"
Creative Solutions in Healthcare,175207,31,125175,0,50000,0,Leans Republican,"Nursing Homes,Hospitals"
Ochsner Health System,135472,72750,42392,20300,0,0,Leans Democrat,"Nursing Homes,Hospitals"
Ciena Healthcare Management,132799,6199,26600,0,100000,0,Leans Conservative,"Nursing Homes,Hospitals"
McDonald's Corp,482281,267023,207895,900,650,0,Leans Democrat,Food & Beverage
National Confectioners Assn,351525,211025,140500,0,0,0,Leans Democrat,Food & Beverage
Fast Food Systems,321900,0,86900,0,235000,0,Leans Conservative,Food & Beverage
National Restaurant Assn,318314,87625,223189,10000,0,0,Leans Republican,Food & Beverage
Bobby Cox Companies,317386,0,317386,0,0,0,Leans Republican,Food & Beverage
Pere Antoine,253300,0,253300,0,0,0,Leans Republican,Food & Beverage
Roark Capital Group,199442,106544,87226,0,0,0,Leans Democrat,Food & Beverage
Georgia Crown Distributing,181601,0,181601,0,0,0,Leans Republican,Food & Beverage
Fedway Assoc,146600,5767,30676,0,10000,100000,On the fence,Food & Beverage
Pappas Restaurants,140932,161,140771,0,0,0,Leans Republican,Food & Beverage
Waffle House Inc,136048,4127,106903,0,25000,0,Leans Republican,Food & Beverage
Hpcp Investments,125000,0,125000,0,10000,0,Leans Republican,Food & Beverage
Landry'S Restaurants,124925,6725,113200,0,66950,0,Leans Republican,Food & Beverage
Pacific Seafood Group,124435,10885,13550,0,100000,0,Leans Conservative,Food & Beverage
Union Square Hospitality Group,119546,109536,0,10000,0,0,Leans Democrat,Food & Beverage
Phil's BBQ,112900,0,12900,0,100000,0,Leans Conservative,Food & Beverage
Association of KFC Franchisees,111900,5000,106900,0,0,0,Leans Republican,Food & Beverage
Tasty Brands,111300,3000,8300,0,0,100000,On the fence,Food & Beverage
Coca-Cola Co,107769,55166,51042,1250,0,0,Leans Democrat,Food & Beverage
Guckenheimer Services,101572,220,1352,0,100000,0,Leans Conservative,Food & Beverage
Susquehanna International Group,46933414,35495,350988,0,46418281,125000,Leans Conservative,"Stock Brokers,Investment Industry"
Citadel LLC,30591837,9864,986723,0,29505000,90000,Leans Conservative,"Stock Brokers,Investment Industry"
Coinbase,26418862,177170,179582,2520000,2000000,21510000,On the fence,"Stock Brokers,Investment Industry"
Ripple,24440412,252805,87207,2556757,1600000,20000000,On the fence,"Stock Brokers,Investment Industry"
Andreessen Horowitz,22865925,222500,115125,1775000,1500000,19250000,On the fence,"Stock Brokers,Investment Industry"
Elliott Management,15493214,158336,1534178,0,12750000,1000000,Leans Conservative,"Stock Brokers,Investment Industry"
Greylock Partners,15377631,1444210,147521,9168500,550000,4050000,Leans Liberal,"Stock Brokers,Investment Industry"
Stephens Inc,11476764,500,1566264,0,10033900,0,Leans Conservative,"Stock Brokers,Investment Industry"
Lone Pine Capital,9250400,2052200,0,7185000,0,0,Leans Liberal,"Stock Brokers,Investment Industry"
Sequoia Capital,6177820,67920,1609900,2500000,2000000,0,Leans Liberal,"Stock Brokers,Investment Industry"
Blackstone Group,5970215,1232279,1514011,250,2900000,0,Leans Conservative,"Stock Brokers,Investment Industry"
McMahon Ventures,5383105,0,133105,0,5250000,0,Leans Conservative,"Stock Brokers,Investment Industry"
Hendricks Holding Co,5339900,0,339900,0,5000000,0,Leans Conservative,"Stock Brokers,Investment Industry"
Winklevoss Capital Management,5316000,39600,76400,0,200000,5000000,On the fence,"Stock Brokers,Investment Industry"
Jump Crypto,5000000,0,0,0,0,5000000,On the fence,"Stock Brokers,Investment Industry"
Euclidean Capital,4922000,422000,0,4500000,0,0,Leans Liberal,"Stock Brokers,Investment Industry"
Jane Street Capital,4527382,786801,968860,510000,2000000,250000,Leans Conservative,"Stock Brokers,Investment Industry"
Renaissance Technologies,3746627,733967,12660,3000000,0,0,Leans Liberal,"Stock Brokers,Investment Industry"
Apollo Global Management,3723857,871947,1114410,500,1711500,0,Leans Conservative,"Stock Brokers,Investment Industry"
Brodie Generational Capital Partners,3692855,0,1442855,0,2250000,0,Leans Conservative,"Stock Brokers,Investment Industry"
Jewish Youth for Community Action,1348200,13200,0,1325000,0,0,Leans Liberal,Clergy & Religious Organizations
Concordia Theological Seminary,99630,97263,67,1150,0,0,Leans Democrat,Clergy & Religious Organizations
Jewish Theological Seminary,87754,87754,0,0,0,0,Leans Democrat,Clergy & Religious Organizations
First United Methodist Church,82910,3717,77283,0,1360,0,Leans Republican,Clergy & Religious Organizations
United Methodist Church,68775,62394,4932,300,0,0,Leans Democrat,Clergy & Religious Organizations
Methodist Church,67115,3797,62918,0,1471,250,Leans Republican,Clergy & Religious Organizations
A Khmer Buddhist Foundation,63800,63800,0,27400,0,0,Leans Democrat,Clergy & Religious Organizations
The Episcopal Church,39868,25002,14127,0,0,0,Leans Democrat,Clergy & Religious Organizations
Presbyterian Church,23355,20351,2459,140,0,0,Leans Democrat,Clergy & Religious Organizations
Grace Lutheran Church,22921,19164,348,2787,0,0,Leans Democrat,Clergy & Religious Organizations
Hebrew Union College,16838,16337,501,0,0,0,Leans Democrat,Clergy & Religious Organizations
Calvary Church,15637,0,14947,0,565,0,Leans Republican,Clergy & Religious Organizations
St Paul Catholic Church,15531,14077,0,1454,0,0,Leans Democrat,Clergy & Religious Organizations
Diocese of San Jose,15423,14486,745,0,0,0,Leans Democrat,Clergy & Religious Organizations
Presbytery of Baltimore,15288,15288,0,0,0,0,Leans Democrat,Clergy & Religious Organizations
First Presbyterian Church,14727,12413,2211,0,0,0,Leans Democrat,Clergy & Religious Organizations
Jewbelong,14550,13800,750,0,0,0,Leans Democrat,Clergy & Religious Organizations
Center for Humanist Activism,14500,14500,0,0,0,0,Leans Democrat,Clergy & Religious Organizations
Temple Emanuel,14162,14124,20,0,0,0,Leans Democrat,Clergy & Religious Organizations
Awaken Church,13410,0,13410,0,0,0,Leans Republican,Clergy & Religious Organizations
Edison Chouest Offshore,304842,3445,301397,0,0,0,Leans Republican,Sea Transport
Carnival Corp,208968,89327,109716,0,0,0,Leans Republican,Sea Transport
Galliano Marine Services,136143,0,136143,0,0,0,Leans Republican,Sea Transport
Foremost Group,131200,0,9900,0,118400,0,Leans Conservative,Sea Transport
Container Maintenance Corp,106600,0,6600,0,100000,0,Leans Conservative,Sea Transport
American Waterways Operators,88935,22935,66000,0,0,0,Leans Republican,Sea Transport
Matson Inc,82573,55416,27075,0,0,0,Leans Democrat,Sea Transport
Carnival Cruise Lines,80092,52562,27530,0,0,0,Leans Democrat,Sea Transport
Kirby Corp,69613,6050,63563,0,0,0,Leans Republican,Sea Transport
Ingram Barge Co,65289,30921,34368,0,0,0,Leans Republican,Sea Transport
Saltchuk,61375,32875,28500,0,0,0,Leans Democrat,Sea Transport
Pacific Maritime Assn,57311,38073,14919,1630,1000,0,Leans Democrat,Sea Transport
American Pilots Assn,53157,19500,33657,0,0,0,Leans Republican,Sea Transport
YCF Maritime,50000,0,0,0,0,50000,On the fence,Sea Transport
Blessey Marine Service,40639,1039,39600,0,0,0,Leans Republican,Sea Transport
Golding Barge Line,34251,0,34251,0,0,0,Leans Republican,Sea Transport
Maersk Inc,34199,19358,14831,0,0,0,Leans Democrat,Sea Transport
Smoker Craft,23500,0,23500,0,0,0,Leans Republican,Sea Transport
US Pioneer Inc,23300,0,23300,0,0,0,Leans Republican,Sea Transport
Ocean Aero,23175,0,23175,0,0,0,Leans Republican,Sea Transport
Lockheed Martin,1917820,884979,1007147,52585,485,790,Leans Republican,Defense Aerospace
Northrop Grumman,1247962,656348,573505,31210,878,100,Leans Democrat,Defense Aerospace
General Atomics,1229004,279617,864690,445,83400,510,Leans Republican,Defense Aerospace
RTX Corp,1075343,486523,564079,7691,2065,0,Leans Republican,Defense Aerospace
Sierra Nevada Corp,352215,145046,204639,0,0,0,Leans Republican,Defense Aerospace
Honeywell International,224500,120500,101500,0,0,0,Leans Democrat,Defense Aerospace
Boeing Co,137333,58228,69105,0,0,0,Leans Republican,Defense Aerospace
Kratos Defense & Security Solutions,124821,22621,102185,0,0,0,Leans Republican,Defense Aerospace
Eo Solutions,101305,58100,43205,0,0,0,Leans Democrat,Defense Aerospace
Karem Aircraft,64398,678,63720,0,0,0,Leans Republican,Defense Aerospace
United Launch Alliance,61124,21902,39192,0,0,0,Leans Republican,Defense Aerospace
Aerovironment Inc,53399,9798,43577,0,0,0,Leans Republican,Defense Aerospace
Rolls-Royce North America,43500,17000,26500,0,0,0,Leans Republican,Defense Aerospace
Textron Inc,33500,6000,26500,0,0,0,Leans Republican,Defense Aerospace
Shield AI,31805,12605,19200,0,0,0,Leans Republican,Defense Aerospace
Patriot Machine,28180,0,28180,0,0,0,Leans Republican,Defense Aerospace
Mag Aerospace,27544,1690,25736,0,0,0,Leans Republican,Defense Aerospace
M International,26426,500,25926,0,0,0,Leans Republican,Defense Aerospace
Airbus Group,24500,7000,17500,0,0,0,Leans Republican,Defense Aerospace
Collins Aerospace,21550,11182,9893,0,0,0,Leans Democrat,Defense Aerospace
National Education Assn,8575549,1211771,8741,7372677,0,14000,Leans Liberal,Government Employee Unions
American Federation of State/Cnty/Munic Employees,2650516,1729514,0,938700,0,0,Leans Democrat,Government Employee Unions
American Federation of Teachers,1860132,1327343,1360,583447,0,0,Leans Democrat,Government Employee Unions
AFT Solidarity,1303000,0,0,1303000,0,0,Leans Liberal,Government Employee Unions
International Assn of Fire Fighters,1063252,842252,221000,0,0,0,Leans Democrat,Government Employee Unions
National Assn of Letter Carriers,984800,742921,235364,0,0,0,Leans Democrat,Government Employee Unions
American Federation of Government Employees,978117,450975,18032,507000,0,0,Leans Liberal,Government Employee Unions
American Postal Workers Union,918655,382129,32000,0,0,504159,On the fence,Government Employee Unions
Ohio Education Assn,473302,2407,0,470885,0,0,Leans Liberal,Government Employee Unions
Afscme Working Families Fund,375000,0,0,375000,0,0,Leans Liberal,Government Employee Unions
National Rural Letter Carriers Assn,348000,165500,179500,0,0,0,Leans Republican,Government Employee Unions
National Active & Retired Federal Employees Assn,264525,222025,40000,0,0,0,Leans Democrat,Government Employee Unions
National Treasury Employees Union,164776,161776,3000,0,0,0,Leans Democrat,Government Employee Unions
United Postmasters & Managers of America,144000,63000,81000,0,0,0,Leans Republican,Government Employee Unions
Federal Aviation Admin Managers Assn,135000,77000,58000,0,0,0,Leans Democrat,Government Employee Unions
National Postal Mail Handlers Union,125000,103000,22000,0,0,0,Leans Democrat,Government Employee Unions
National Assn of Postal Supervisors,102500,81000,21500,0,0,0,Leans Democrat,Government Employee Unions
Service Employees Intl Union Local 721,50571,50571,0,48200,0,0,Leans Democrat,Government Employee Unions
California Teachers Assn,42817,42321,0,32400,0,0,Leans Democrat,Government Employee Unions
National Assn/Farm Service Agency County Employees,39500,5000,34500,0,0,0,Leans Republican,Government Employee Unions
Crystal Bridges Museum of American Art,5055210,205,5000,0,5050000,0,Leans Conservative,"Non-profits, Foundations & Philanthropists"
Marcus Foundation,3953400,0,1360800,0,592600,2000000,On the fence,"Non-profits, Foundations & Philanthropists"
Pathways.org,3570030,30,70000,0,3500000,0,Leans Conservative,"Non-profits, Foundations & Philanthropists"
Simon Youth Foundation,2299985,799985,0,1595000,0,0,Leans Liberal,"Non-profits, Foundations & Philanthropists"
Global Impact Social Welfare Fund,1400000,0,0,1250000,150000,0,Leans Liberal,"Non-profits, Foundations & Philanthropists"
Simons Foundation,1354758,354653,0,1000000,0,0,Leans Liberal,"Non-profits, Foundations & Philanthropists"
Arthur M Blank Family Foundation,1343503,343498,5,0,0,1000000,On the fence,"Non-profits, Foundations & Philanthropists"
Heising-Simons Foundation,1187215,186415,0,1000000,0,0,Leans Liberal,"Non-profits, Foundations & Philanthropists"
Schusterman Foundation,1129465,229265,0,900200,0,0,Leans Liberal,"Non-profits, Foundations & Philanthropists"
Nancy Ann Hunt Foundation,701600,0,101600,0,600000,0,Leans Conservative,"Non-profits, Foundations & Philanthropists"
Hildebrand Foundation,663894,0,513068,0,150826,0,Leans Republican,"Non-profits, Foundations & Philanthropists"
